BuildingType,Latitude,NumberofBuildings,GHGEmissionsIntensity,TotalGHGEmissions,PropertyGFATotal,PrimaryPropertyType,YearBuilt,Neighborhood,Longitude,NumberofFloors,LargestPropertyUseType,ENERGYSTARScore
Multifamily LR (1-4),47.52971,1,0.68,59.7,88043,Low-Rise Multifamily,2010,SOUTHEAST,-122.2696,4,Multifamily Housing,82
Multifamily LR (1-4),47.53084,1,0.67,61.86,91907,Low-Rise Multifamily,1968,GREATER DUWAMISH,-122.28114,2,Multifamily Housing,57
Multifamily LR (1-4),47.53104,2,2.79,60.5,21708,Low-Rise Multifamily,1956,SOUTHEAST,-122.26968,2,Multifamily Housing,52
Multifamily LR (1-4),47.53144,1,0.45,58.82,131307,Low-Rise Multifamily,1990,DELRIDGE,-122.36076,2,Multifamily Housing,50
Multifamily LR (1-4),47.53212,1,0.13,39.57,298714,Low-Rise Multifamily,1988,DELRIDGE,-122.34509,3,Multifamily Housing,61
Multifamily LR (1-4),47.53223,1,1.11,41.65,37361,Low-Rise Multifamily,2009,GREATER DUWAMISH,-122.28269,3,Multifamily Housing,61
Multifamily LR (1-4),47.53323,1,0.17,4.71,26970,Low-Rise Multifamily,1980,SOUTHWEST,-122.37693,4,Multifamily Housing,75
Multifamily LR (1-4),47.53332,1,0.39,60.53,155600,Low-Rise Multifamily,1987,DELRIDGE,-122.36267,3,Multifamily Housing,44
Multifamily LR (1-4),47.53345,1,0.2,18.9,95865,Low-Rise Multifamily,1990,DELRIDGE,-122.36082,2,Multifamily Housing,32
Multifamily LR (1-4),47.53347,1,0.22,7.22,32405,Low-Rise Multifamily,2009,DELRIDGE,-122.36471,3,Multifamily Housing,50
Multifamily LR (1-4),47.53347,1,0.76,67.17,87958,Low-Rise Multifamily,2013,SOUTHEAST,-122.26948,4,Multifamily Housing,95
Multifamily LR (1-4),47.53384,1,0.15,4.83,31288,Low-Rise Multifamily,1980,DELRIDGE,-122.34899,3,Multifamily Housing,77
Multifamily LR (1-4),47.53445,1,0.18,3.77,21385,Low-Rise Multifamily,1967,DELRIDGE,-122.34774,3,Multifamily Housing,68
Multifamily LR (1-4),47.53456,1,0.14,11.77,84415,Low-Rise Multifamily,1989,DELRIDGE,-122.37632,4,Multifamily Housing,91
Multifamily LR (1-4),47.53476,9,0.22,13.16,58523,Low-Rise Multifamily,1988,DELRIDGE,-122.36469,3,Multifamily Housing,63
Multifamily LR (1-4),47.53558,1,0.22,10.08,45201,Low-Rise Multifamily,1959,SOUTHEAST,-122.27061,3,Multifamily Housing,60
